Fits Keywords,Assembly,Subsystem,Event_Name,Variable,Description,Type,Unit,Readout ,Raw Frame,Processed Frame
XSIZE,,,,,Window Size,Int 16,pixels,1,1,1
YSIZE,,,,,Window Size,Int 16,Pixels,1,1,1
XSTART,,,,,Subarray Start X,Int 16,pixels,1,1,1
YSTART,,,,,Subarray Start Y,Int 16,pixels,1,1,1
SARRMODE,,,,,"Subarray Mode [FULL_FRAME,SUB_ARRAY,ODGW}",enum,,1,1,1
READTIME,,,,,Start time of the first pixel read,Int 64,Microseconds in MJD,1,,
RST_TIME,,,,,Time of the last reset,Int 64,Microseconds in MJD,1,,
FRM_TIME,,,,,Time taken to read all the pixels in the readout frame,Int 64,Microseconds,1,,
OBS_ID,,,,,Observation id,string,,,,
DET_ID,,,,,"Detector ID IMG1/2/3/4 ,SLC/LEN",enum,,1,,
EXP_NO,,,,,Exposure number  XXXX 0-9999,Int 32,,1,,
RAMP_NO,,,,,Ramp within Exposure [0-99999],Int 32,,1,,
READ_NO,,,,,Readout Within Ramp [0-99999],Int 32,,1,,
COMPLETE,,,,,Indicates if Pixels were readout,bool,,1,,
,,,,,,,,,,
GUIDRA*    ,TCS,cmIRIS,oiwfsTargetInfo,,"Proposed item in which TCS publishes ICRS RA, Dec and proper motions, names, and colors (what system?) for OIWFS targets. FITS=GUIDDEC*, GUIDRA*, GUIDNAM*, GUIDPM*, GUIDCOL",,,,,1
GUIDDEC*,TCS,cmIRIS,oiwfsTargetInfo,,,,,,,1
GUIDNAM*,TCS,cmIRIS,oiwfsTargetInfo,,,,,,,1
GUIDPM*,TCS,cmIRIS,oiwfsTargetInfo,,,,,,,1
GUIDCOL*,TCS,cmIRIS,oiwfsTargetInfo,,,,,,,1
GUIDRA*,TCS,cmIRIS,odgwTargetInfo,,"Proposed item in which TCS publishes ICRS RA, Dec and proper motions, names, and colors (what system?) for ODGW targets. FITS=GUIDDEC*, GUIDRA*, GUIDNAM*, GUIDPM*, GUIDCOL",,,,,1
GUIDDEC*,TCS,cmIRIS,odgwTargetInfo,,,,,,,1
GUIDNAM*,TCS,cmIRIS,odgwTargetInfo,,,,,,,1
GUIDPM*,TCS,cmIRIS,odgwTargetInfo,,,,,,,1
GUIDCOL*,TCS,cmIRIS,odgwTargetInfo,,,,,,,1
GUIDRA*,TCS,cmNFIRAOS,ngsTargetInfo,,"Proposed item in which TCS publishes ICRS RA, Dec and proper motions, names, and colors (what system?) for the NGS WFS target",,,,,1
